"","Reason","year","Age","Male","Female","Total"
"20787","Short-term Visitors",2007,"67 s",137,167,304
"20788","Short-term Visitors",2008,"67 s",33,60,93
"20789","Short-term Visitors",2009,"67 s",56,92,148
"20790","Short-term Visitors",2010,"67 s",46,86,132
"20791","Short-term Visitors",2011,"67 s",59,65,124
"20792","Short-term Visitors",2012,"67 s",60,77,137
"20793","Short-term Visitors",2013,"67 s",39,84,123
"20794","Short-term Visitors",2014,"67 s",51,79,130
"20795","Short-term Visitors",2015,"67 s",56,60,116
"20796","Short-term Visitors",2016,"67 s",58,97,155
"20797","Short-term Visitors",2017,"67 s",48,86,134
"20798","Short-term Visitors",2018,"67 s",45,64,109
"20799","Short-term Visitors",2019,"67 s",41,69,110
"20800","Short-term Employment",2000,"67 s",0,0,0
"20801","Short-term Employment",2001,"67 s",0,0,0
"20802","Short-term Employment",2002,"67 s",0,0,0
"20803","Short-term Employment",2003,"67 s",0,0,0
"20804","Short-term Employment",2004,"67 s",0,0,0
"20805","Short-term Employment",2005,"67 s",0,0,0
"20806","Short-term Employment",2006,"67 s",1,0,1
"20807","Short-term Employment",2007,"67 s",0,0,0
"20808","Short-term Employment",2008,"67 s",0,0,0
"20809","Short-term Employment",2009,"67 s",0,0,0
"20810","Short-term Employment",2010,"67 s",0,0,0
"20811","Job Seeking",2000,"67 s",0,0,0
"20812","Job Seeking",2001,"67 s",0,0,0
"20813","Job Seeking",2002,"67 s",0,0,0
"20814","Job Seeking",2003,"67 s",0,0,0
"20815","Job Seeking",2004,"67 s",0,0,0
"20816","Job Seeking",2005,"67 s",0,0,0
"20817","Job Seeking",2006,"67 s",0,0,0
"20818","Job Seeking",2007,"67 s",0,0,0
"20819","Job Seeking",2008,"67 s",0,0,0
"20820","Job Seeking",2009,"67 s",0,0,0
"20821","Job Seeking",2010,"67 s",0,0,0
"20822","study",2000,"67 s",0,0,0
"20823","study",2001,"67 s",0,0,0
"20824","study",2002,"67 s",0,0,0
"20825","study",2003,"67 s",0,0,0
"20826","study",2004,"67 s",0,0,0
"20827","study",2005,"67 s",0,0,0
"20828","study",2006,"67 s",0,0,0
"20829","study",2007,"67 s",0,0,0
"20830","study",2008,"67 s",0,0,0
"20831","study",2009,"67 s",0,0,0
"20832","study",2010,"67 s",0,0,0
"20833","study",2011,"67 s",NA,1,1
"20834","study",2015,"67 s",0,1,1
"20835","General Trainees",2000,"67 s",1,0,1
"20836","General Trainees",2001,"67 s",0,0,0
"20837","General Trainees",2002,"67 s",0,0,0
"20838","General Trainees",2003,"67 s",0,0,0
"20839","General Trainees",2004,"67 s",0,0,0
"20840","General Trainees",2005,"67 s",0,0,0
"20841","General Trainees",2006,"67 s",0,0,0
"20842","General Trainees",2007,"67 s",0,0,0
"20843","General Trainees",2008,"67 s",0,1,1
"20844","General Trainees",2009,"67 s",0,0,0
"20845","General Trainees",2010,"67 s",0,0,0
"20846","Religious Activities",2000,"67 s",3,0,3
"20847","Religious Activities",2001,"67 s",5,2,7
"20848","Religious Activities",2002,"67 s",1,0,1
"20849","Religious Activities",2003,"67 s",1,0,1
"20850","Religious Activities",2004,"67 s",3,2,5
"20851","Religious Activities",2005,"67 s",1,0,1
"20852","Religious Activities",2006,"67 s",1,2,3
"20853","Religious Activities",2007,"67 s",4,0,4
"20854","Religious Activities",2008,"67 s",2,0,2
"20855","Religious Activities",2009,"67 s",2,0,2
"20856","Religious Activities",2010,"67 s",1,0,1
"20857","Religious Activities",2011,"67 s",3,NA,3
"20858","Religious Activities",2012,"67 s",1,2,3
"20859","Religious Activities",2013,"67 s",1,3,4
"20860","Religious Activities",2014,"67 s",1,3,4
"20861","Religious Activities",2015,"67 s",1,1,2
"20862","Religious Activities",2016,"67 s",1,0,1
"20863","Religious Activities",2017,"67 s",1,1,2
"20864","Religious Activities",2018,"67 s",2,4,6
"20865","Religious Activities",2019,"67 s",2,0,2
"20866","Investors",2000,"67 s",2,0,2
"20867","Investors",2001,"67 s",1,0,1
"20868","Investors",2002,"67 s",1,0,1
"20869","Investors",2003,"67 s",1,0,1
"20870","Investors",2004,"67 s",0,0,0
"20871","Investors",2005,"67 s",2,0,2
"20872","Investors",2006,"67 s",4,0,4
"20873","Investors",2007,"67 s",1,0,1
"20874","Investors",2008,"67 s",0,0,0
"20875","Investors",2009,"67 s",2,0,2
"20876","Investors",2010,"67 s",3,0,3
"20877","Investors",2013,"67 s",1,0,1
"20878","Investors",2017,"67 s",1,0,1
"20879","Investors",2018,"67 s",1,0,1
"20880","Investors",2019,"67 s",2,0,2
"20881","Trade and Business",2000,"67 s",0,0,0
"20882","Trade and Business",2001,"67 s",1,0,1
"20883","Trade and Business",2002,"67 s",0,0,0
"20884","Trade and Business",2003,"67 s",0,0,0
"20885","Trade and Business",2004,"67 s",5,0,5
"20886","Trade and Business",2005,"67 s",0,0,0
"20887","Trade and Business",2006,"67 s",2,0,2
"20888","Trade and Business",2007,"67 s",1,0,1
"20889","Trade and Business",2008,"67 s",6,0,6
"20890","Trade and Business",2009,"67 s",3,0,3
"20891","Trade and Business",2010,"67 s",3,0,3
"20892","Trade and Business",2011,"67 s",1,NA,1
"20893","Trade and Business",2012,"67 s",6,NA,6
"20894","Trade and Business",2013,"67 s",4,0,4
"20895","Trade and Business",2014,"67 s",5,0,5
"20896","Trade and Business",2015,"67 s",6,0,6
"20897","Trade and Business",2016,"67 s",2,0,2
"20898","Trade and Business",2017,"67 s",4,0,4
"20899","Trade and Business",2018,"67 s",2,0,2
"20900","Trade and Business",2019,"67 s",1,0,1
"20901","Research",2000,"67 s",1,0,1
"20902","Research",2001,"67 s",1,0,1
"20903","Research",2002,"67 s",0,0,0
"20904","Research",2003,"67 s",1,1,2
"20905","Research",2004,"67 s",0,0,0
"20906","Research",2005,"67 s",1,0,1
"20907","Research",2006,"67 s",1,0,1
"20908","Research",2007,"67 s",0,0,0
"20909","Research",2008,"67 s",0,0,0
"20910","Research",2009,"67 s",0,0,0
"20911","Research",2010,"67 s",0,0,0
"20912","Research",2013,"67 s",1,0,1
"20913","Research",2016,"67 s",1,0,1
"20914","Research",2017,"67 s",1,0,1
"20915","Research",2019,"67 s",1,0,1
"20916","Art and Entertainment",2000,"67 s",1,0,1
"20917","Art and Entertainment",2001,"67 s",0,0,0
"20918","Art and Entertainment",2002,"67 s",0,0,0
"20919","Art and Entertainment",2003,"67 s",0,0,0
"20920","Art and Entertainment",2004,"67 s",0,1,1
"20921","Art and Entertainment",2005,"67 s",0,0,0
"20922","Art and Entertainment",2006,"67 s",0,0,0
"20923","Art and Entertainment",2007,"67 s",0,0,0
"20924","Art and Entertainment",2008,"67 s",1,0,1
"20925","Art and Entertainment",2009,"67 s",0,0,0
"20926","Art and Entertainment",2010,"67 s",0,0,0
"20927","Unskilled Employment",2000,"67 s",0,0,0
"20928","Unskilled Employment",2001,"67 s",0,0,0
"20929","Unskilled Employment",2002,"67 s",0,0,0
"20930","Unskilled Employment",2003,"67 s",0,0,0
"20931","Unskilled Employment",2004,"67 s",1,0,1
"20932","Unskilled Employment",2005,"67 s",0,0,0
"20933","Unskilled Employment",2006,"67 s",0,0,0
"20934","Unskilled Employment",2007,"67 s",0,0,0
"20935","Unskilled Employment",2008,"67 s",0,0,0
"20936","Unskilled Employment",2009,"67 s",0,0,0
"20937","Unskilled Employment",2010,"67 s",0,0,0
"20938","Visiting and Joining Family",2000,"67 s",46,33,79
"20939","Visiting and Joining Family",2001,"67 s",57,39,96
"20940","Visiting and Joining Family",2002,"67 s",26,16,42
"20941","Visiting and Joining Family",2003,"67 s",23,16,39
"20942","Visiting and Joining Family",2004,"67 s",18,19,37
"20943","Visiting and Joining Family",2005,"67 s",57,45,102
"20944","Visiting and Joining Family",2006,"67 s",83,61,144
"20945","Visiting and Joining Family",2007,"67 s",36,45,81
"20946","Visiting and Joining Family",2008,"67 s",31,25,56
"20947","Visiting and Joining Family",2009,"67 s",4,13,17
"20948","Visiting and Joining Family",2010,"67 s",9,3,12
"20949","Visiting and Joining Family",2011,"67 s",21,23,44
"20950","Visiting and Joining Family",2012,"67 s",51,91,142
"20951","Visiting and Joining Family",2013,"67 s",60,124,184
"20952","Visiting and Joining Family",2014,"67 s",25,33,58
"20953","Visiting and Joining Family",2015,"67 s",16,34,50
"20954","Visiting and Joining Family",2016,"67 s",41,38,79
"20955","Visiting and Joining Family",2017,"67 s",62,61,123
"20956","Visiting and Joining Family",2018,"67 s",66,43,109
"20957","Visiting and Joining Family",2019,"67 s",46,39,85
"20958","Overseas Koreans",2000,"67 s",5,1,6
"20959","Overseas Koreans",2001,"67 s",7,6,13
"20960","Overseas Koreans",2002,"67 s",6,12,18
"20961","Overseas Koreans",2003,"67 s",14,11,25
"20962","Overseas Koreans",2004,"67 s",18,13,31
"20963","Overseas Koreans",2005,"67 s",14,20,34
"20964","Overseas Koreans",2006,"67 s",24,12,36
"20965","Overseas Koreans",2007,"67 s",15,16,31
"20966","Overseas Koreans",2008,"67 s",19,28,47
"20967","Overseas Koreans",2009,"67 s",28,26,54
"20968","Overseas Koreans",2010,"67 s",40,39,79
"20969","Overseas Koreans",2011,"67 s",69,77,146
"20970","Overseas Koreans",2012,"67 s",157,97,254
"20971","Overseas Koreans",2013,"67 s",275,232,507
"20972","Overseas Koreans",2014,"67 s",464,445,909
"20973","Overseas Koreans",2015,"67 s",501,593,1094
"20974","Overseas Koreans",2016,"67 s",673,739,1412
"20975","Overseas Koreans",2017,"67 s",699,844,1543
"20976","Overseas Koreans",2018,"67 s",702,912,1614
"20977","Overseas Koreans",2019,"67 s",712,874,1586
"20978","Permanent Residence",2000,"67 s",0,0,0
"20979","Permanent Residence",2001,"67 s",0,0,0
"20980","Permanent Residence",2002,"67 s",0,0,0
"20981","Permanent Residence",2003,"67 s",1,1,2
"20982","Permanent Residence",2004,"67 s",2,0,2
"20983","Permanent Residence",2005,"67 s",3,4,7
"20984","Permanent Residence",2006,"67 s",1,3,4
"20985","Permanent Residence",2007,"67 s",3,3,6
"20986","Permanent Residence",2008,"67 s",2,3,5
"20987","Permanent Residence",2009,"67 s",2,5,7
"20988","Permanent Residence",2010,"67 s",5,4,9
"20989","Permanent Residence",2011,"67 s",3,7,10
"20990","Permanent Residence",2012,"67 s",8,12,20
"20991","Permanent Residence",2013,"67 s",15,11,26
"20992","Permanent Residence",2014,"67 s",17,11,28
"20993","Permanent Residence",2015,"67 s",10,23,33
"20994","Permanent Residence",2016,"67 s",32,20,52
"20995","Permanent Residence",2017,"67 s",27,27,54
"20996","Permanent Residence",2018,"67 s",37,34,71
"20997","Permanent Residence",2019,"67 s",31,30,61
"20998","Marriage Immigration",2011,"67 s",1,1,2
"20999","Marriage Immigration",2012,"67 s",12,3,15
"21000","Marriage Immigration",2013,"67 s",7,4,11
"21001","Marriage Immigration",2014,"67 s",13,4,17
"21002","Marriage Immigration",2015,"67 s",6,2,8
"21003","Marriage Immigration",2016,"67 s",13,8,21
"21004","Marriage Immigration",2017,"67 s",12,7,19
"21005","Marriage Immigration",2018,"67 s",10,2,12
"21006","Marriage Immigration",2019,"67 s",8,9,17
"21007","Total",2000,"68 s",176,155,331
"21008","Total",2001,"68 s",167,148,315
"21009","Total",2002,"68 s",184,170,354
"21010","Total",2003,"68 s",263,242,505
"21011","Total",2004,"68 s",243,216,459
"21012","Total",2005,"68 s",309,262,571
"21013","Total",2006,"68 s",244,300,544
"21014","Total",2007,"68 s",350,366,716
"21015","Total",2008,"68 s",337,411,748
"21016","Total",2009,"68 s",212,244,456
"21017","Total",2010,"68 s",276,277,553
"21018","Total",2011,"68 s",336,359,695
"21019","Total",2012,"68 s",412,392,804
"21020","Total",2013,"68 s",411,389,800
"21021","Total",2014,"68 s",527,512,1039
"21022","Total",2015,"68 s",603,759,1362
"21023","Total",2016,"68 s",620,774,1394
"21024","Total",2017,"68 s",706,879,1585
"21025","Total",2018,"68 s",793,960,1753
"21026","Total",2019,"68 s",785,924,1709
"21027","Sightseeing Pass",2000,"68 s",28,29,57
"21028","Sightseeing Pass",2001,"68 s",41,42,83
"21029","Sightseeing Pass",2002,"68 s",44,31,75
"21030","Sightseeing Pass",2003,"68 s",52,25,77
"21031","Sightseeing Pass",2004,"68 s",31,25,56
"21032","Sightseeing Pass",2005,"68 s",35,22,57
"21033","Sightseeing Pass",2006,"68 s",27,34,61
"21034","Sightseeing Pass",2007,"68 s",27,18,45
"21035","Sightseeing Pass",2008,"68 s",21,25,46
"21036","Sightseeing Pass",2009,"68 s",21,26,47
"21037","Sightseeing Pass",2010,"68 s",37,40,77
"21038","Sightseeing Pass",2011,"68 s",52,39,91
"21039","Sightseeing Pass",2012,"68 s",51,67,118
"21040","Sightseeing Pass",2013,"68 s",46,41,87
"21041","Sightseeing Pass",2014,"68 s",33,36,69
"21042","Sightseeing Pass",2015,"68 s",56,49,105
"21043","Sightseeing Pass",2016,"68 s",50,54,104
"21044","Sightseeing Pass",2017,"68 s",32,37,69
"21045","Sightseeing Pass",2018,"68 s",40,42,82
"21046","Sightseeing Pass",2019,"68 s",25,32,57
"21047","Short-term Business",2000,"68 s",1,1,2
"21048","Short-term Business",2001,"68 s",4,2,6
"21049","Short-term Business",2002,"68 s",3,1,4
"21050","Short-term Business",2003,"68 s",3,0,3
"21051","Short-term Business",2004,"68 s",4,1,5
"21052","Short-term Business",2005,"68 s",3,1,4
"21053","Short-term Business",2006,"68 s",2,3,5
"21054","Short-term Business",2007,"68 s",2,0,2
"21055","Short-term Business",2008,"68 s",0,0,0
"21056","Short-term Business",2009,"68 s",0,0,0
"21057","Short-term Business",2010,"68 s",1,0,1
"21058","Short-term Business",2011,"68 s",NA,1,1
"21059","Short-term Visitors",2000,"68 s",60,78,138
"21060","Short-term Visitors",2001,"68 s",44,43,87
"21061","Short-term Visitors",2002,"68 s",82,103,185
"21062","Short-term Visitors",2003,"68 s",143,172,315
"21063","Short-term Visitors",2004,"68 s",134,142,276
"21064","Short-term Visitors",2005,"68 s",183,178,361
"21065","Short-term Visitors",2006,"68 s",122,182,304
"21066","Short-term Visitors",2007,"68 s",123,161,284
"21067","Short-term Visitors",2008,"68 s",36,60,96
"21068","Short-term Visitors",2009,"68 s",46,65,111
"21069","Short-term Visitors",2010,"68 s",39,81,120
"21070","Short-term Visitors",2011,"68 s",57,97,154
"21071","Short-term Visitors",2012,"68 s",46,42,88
"21072","Short-term Visitors",2013,"68 s",40,58,98
"21073","Short-term Visitors",2014,"68 s",50,63,113
"21074","Short-term Visitors",2015,"68 s",33,71,104
"21075","Short-term Visitors",2016,"68 s",50,63,113
"21076","Short-term Visitors",2017,"68 s",36,51,87
"21077","Short-term Visitors",2018,"68 s",46,58,104
"21078","Short-term Visitors",2019,"68 s",45,62,107
"21079","Short-term Employment",2000,"68 s",0,0,0
"21080","Short-term Employment",2001,"68 s",0,1,1
"21081","Short-term Employment",2002,"68 s",0,0,0
"21082","Short-term Employment",2003,"68 s",0,0,0
"21083","Short-term Employment",2004,"68 s",0,0,0
"21084","Short-term Employment",2005,"68 s",0,0,0
"21085","Short-term Employment",2006,"68 s",0,0,0
"21086","Short-term Employment",2007,"68 s",0,0,0
"21087","Short-term Employment",2008,"68 s",0,0,0
"21088","Short-term Employment",2009,"68 s",0,0,0
"21089","Short-term Employment",2010,"68 s",0,0,0
"21090","Short-term Employment",2019,"68 s",1,0,1
"21091","Job Seeking",2000,"68 s",0,0,0
"21092","Job Seeking",2001,"68 s",0,0,0
"21093","Job Seeking",2002,"68 s",0,0,0
"21094","Job Seeking",2003,"68 s",0,0,0
"21095","Job Seeking",2004,"68 s",0,0,0
"21096","Job Seeking",2005,"68 s",0,0,0
"21097","Job Seeking",2006,"68 s",0,0,0
"21098","Job Seeking",2007,"68 s",0,0,0
"21099","Job Seeking",2008,"68 s",0,0,0
"21100","Job Seeking",2009,"68 s",0,0,0
"21101","Job Seeking",2010,"68 s",0,0,0
"21102","study",2000,"68 s",0,0,0
"21103","study",2001,"68 s",0,0,0
"21104","study",2002,"68 s",0,0,0
"21105","study",2003,"68 s",0,0,0
"21106","study",2004,"68 s",0,0,0
"21107","study",2005,"68 s",0,0,0
"21108","study",2006,"68 s",0,0,0
"21109","study",2007,"68 s",0,0,0
"21110","study",2008,"68 s",0,0,0
"21111","study",2009,"68 s",0,0,0
"21112","study",2010,"68 s",0,1,1
"21113","study",2016,"68 s",1,0,1
"21114","study",2019,"68 s",0,1,1
"21115","General Trainees",2000,"68 s",0,0,0
"21116","General Trainees",2001,"68 s",0,0,0
"21117","General Trainees",2002,"68 s",0,0,0
"21118","General Trainees",2003,"68 s",0,0,0
"21119","General Trainees",2004,"68 s",0,0,0
"21120","General Trainees",2005,"68 s",0,1,1
"21121","General Trainees",2006,"68 s",1,0,1
"21122","General Trainees",2007,"68 s",0,0,0
"21123","General Trainees",2008,"68 s",0,0,0
"21124","General Trainees",2009,"68 s",0,0,0
"21125","General Trainees",2010,"68 s",1,0,1
"21126","General Trainees",2018,"68 s",1,0,1
"21127","Religious Activities",2000,"68 s",0,2,2
"21128","Religious Activities",2001,"68 s",3,3,6
"21129","Religious Activities",2002,"68 s",3,0,3
"21130","Religious Activities",2003,"68 s",2,1,3
"21131","Religious Activities",2004,"68 s",2,2,4
"21132","Religious Activities",2005,"68 s",4,0,4
"21133","Religious Activities",2006,"68 s",0,0,0
"21134","Religious Activities",2007,"68 s",2,0,2
"21135","Religious Activities",2008,"68 s",1,3,4
"21136","Religious Activities",2009,"68 s",2,2,4
"21137","Religious Activities",2010,"68 s",3,1,4
"21138","Religious Activities",2011,"68 s",1,1,2
"21139","Religious Activities",2012,"68 s",3,NA,3
"21140","Religious Activities",2015,"68 s",1,0,1
"21141","Religious Activities",2016,"68 s",0,2,2
"21142","Investors",2000,"68 s",0,0,0
"21143","Investors",2001,"68 s",4,0,4
"21144","Investors",2002,"68 s",0,0,0
"21145","Investors",2003,"68 s",2,0,2
"21146","Investors",2004,"68 s",1,0,1
"21147","Investors",2005,"68 s",2,0,2
"21148","Investors",2006,"68 s",0,0,0
"21149","Investors",2007,"68 s",2,0,2
"21150","Investors",2008,"68 s",1,0,1
"21151","Investors",2009,"68 s",0,0,0
"21152","Investors",2010,"68 s",1,0,1
"21153","Investors",2011,"68 s",1,NA,1
"21154","Investors",2016,"68 s",1,0,1
"21155","Investors",2018,"68 s",1,0,1
"21156","Trade and Business",2000,"68 s",1,0,1
"21157","Trade and Business",2001,"68 s",0,0,0
"21158","Trade and Business",2002,"68 s",2,0,2
"21159","Trade and Business",2003,"68 s",0,0,0
"21160","Trade and Business",2004,"68 s",1,0,1
"21161","Trade and Business",2005,"68 s",1,0,1
"21162","Trade and Business",2006,"68 s",0,0,0
"21163","Trade and Business",2007,"68 s",1,0,1
"21164","Trade and Business",2008,"68 s",2,0,2
"21165","Trade and Business",2009,"68 s",3,0,3
"21166","Trade and Business",2010,"68 s",2,0,2
"21167","Trade and Business",2011,"68 s",4,NA,4
"21168","Trade and Business",2012,"68 s",4,NA,4
"21169","Trade and Business",2013,"68 s",6,0,6
"21170","Trade and Business",2014,"68 s",5,0,5
"21171","Trade and Business",2015,"68 s",5,0,5
"21172","Trade and Business",2016,"68 s",5,0,5
"21173","Trade and Business",2017,"68 s",3,0,3
"21174","Trade and Business",2018,"68 s",3,0,3
"21175","Trade and Business",2019,"68 s",3,0,3
"21176","Research",2000,"68 s",1,0,1
"21177","Research",2001,"68 s",1,0,1
"21178","Research",2002,"68 s",0,0,0
"21179","Research",2003,"68 s",1,0,1
"21180","Research",2004,"68 s",0,1,1
"21181","Research",2005,"68 s",1,0,1
"21182","Research",2006,"68 s",0,1,1
"21183","Research",2007,"68 s",0,0,0
"21184","Research",2008,"68 s",0,0,0
"21185","Research",2009,"68 s",0,0,0
"21186","Research",2010,"68 s",1,0,1
"21187","Research",2012,"68 s",1,NA,1
"21188","Research",2014,"68 s",2,0,2
"21189","Research",2016,"68 s",1,0,1
"21190","Research",2018,"68 s",1,1,2
"21191","Art and Entertainment",2000,"68 s",0,0,0
"21192","Art and Entertainment",2001,"68 s",0,0,0
"21193","Art and Entertainment",2002,"68 s",0,0,0
"21194","Art and Entertainment",2003,"68 s",0,0,0
"21195","Art and Entertainment",2004,"68 s",0,0,0
"21196","Art and Entertainment",2005,"68 s",0,0,0
"21197","Art and Entertainment",2006,"68 s",0,0,0
"21198","Art and Entertainment",2007,"68 s",0,0,0
"21199","Art and Entertainment",2008,"68 s",0,0,0
"21200","Art and Entertainment",2009,"68 s",0,0,0
"21201","Art and Entertainment",2010,"68 s",0,0,0
"21202","Art and Entertainment",2014,"68 s",1,0,1
"21203","Unskilled Employment",2000,"68 s",0,0,0
"21204","Unskilled Employment",2001,"68 s",0,0,0
"21205","Unskilled Employment",2002,"68 s",0,0,0
"21206","Unskilled Employment",2003,"68 s",0,0,0
"21207","Unskilled Employment",2004,"68 s",2,0,2
"21208","Unskilled Employment",2005,"68 s",0,0,0
"21209","Unskilled Employment",2006,"68 s",0,0,0
"21210","Unskilled Employment",2007,"68 s",0,0,0
"21211","Unskilled Employment",2008,"68 s",0,0,0
"21212","Unskilled Employment",2009,"68 s",0,0,0
"21213","Unskilled Employment",2010,"68 s",0,0,0
"21214","Visiting and Joining Family",2000,"68 s",45,29,74
"21215","Visiting and Joining Family",2001,"68 s",48,33,81
"21216","Visiting and Joining Family",2002,"68 s",25,18,43
"21217","Visiting and Joining Family",2003,"68 s",24,17,41
"21218","Visiting and Joining Family",2004,"68 s",26,21,47
"21219","Visiting and Joining Family",2005,"68 s",35,30,65
"21220","Visiting and Joining Family",2006,"68 s",57,53,110
"21221","Visiting and Joining Family",2007,"68 s",43,31,74
"21222","Visiting and Joining Family",2008,"68 s",29,38,67
"21223","Visiting and Joining Family",2009,"68 s",11,14,25
"21224","Visiting and Joining Family",2010,"68 s",5,7,12
"21225","Visiting and Joining Family",2011,"68 s",17,25,42
"21226","Visiting and Joining Family",2012,"68 s",67,104,171
"21227","Visiting and Joining Family",2013,"68 s",55,104,159
"21228","Visiting and Joining Family",2014,"68 s",22,24,46
"21229","Visiting and Joining Family",2015,"68 s",26,20,46
"21230","Visiting and Joining Family",2016,"68 s",23,28,51
"21231","Visiting and Joining Family",2017,"68 s",38,37,75
"21232","Visiting and Joining Family",2018,"68 s",46,37,83
"21233","Visiting and Joining Family",2019,"68 s",48,28,76
"21234","Overseas Koreans",2000,"68 s",9,2,11
"21235","Overseas Koreans",2001,"68 s",7,7,14
"21236","Overseas Koreans",2002,"68 s",5,2,7
"21237","Overseas Koreans",2003,"68 s",13,10,23
"21238","Overseas Koreans",2004,"68 s",14,9,23
"21239","Overseas Koreans",2005,"68 s",14,12,26
"21240","Overseas Koreans",2006,"68 s",18,11,29
"21241","Overseas Koreans",2007,"68 s",20,19,39
"21242","Overseas Koreans",2008,"68 s",20,26,46
"21243","Overseas Koreans",2009,"68 s",28,31,59
"21244","Overseas Koreans",2010,"68 s",28,29,57
"21245","Overseas Koreans",2011,"68 s",62,58,120
"21246","Overseas Koreans",2012,"68 s",121,93,214
"21247","Overseas Koreans",2013,"68 s",202,151,353
"21248","Overseas Koreans",2014,"68 s",362,347,709
"21249","Overseas Koreans",2015,"68 s",439,593,1032
"21250","Overseas Koreans",2016,"68 s",449,588,1037
"21251","Overseas Koreans",2017,"68 s",550,708,1258
"21252","Overseas Koreans",2018,"68 s",591,777,1368
"21253","Overseas Koreans",2019,"68 s",619,772,1391
"21254","Permanent Residence",2000,"68 s",0,0,0
"21255","Permanent Residence",2001,"68 s",0,0,0
"21256","Permanent Residence",2002,"68 s",0,0,0
"21257","Permanent Residence",2003,"68 s",0,1,1
"21258","Permanent Residence",2004,"68 s",2,3,5
"21259","Permanent Residence",2005,"68 s",5,1,6
"21260","Permanent Residence",2006,"68 s",3,3,6
"21261","Permanent Residence",2007,"68 s",2,1,3
"21262","Permanent Residence",2008,"68 s",4,5,9
"21263","Permanent Residence",2009,"68 s",1,3,4
"21264","Permanent Residence",2010,"68 s",2,1,3
"21265","Permanent Residence",2011,"68 s",5,5,10
"21266","Permanent Residence",2012,"68 s",11,5,16
"21267","Permanent Residence",2013,"68 s",13,9,22
"21268","Permanent Residence",2014,"68 s",20,14,34
"21269","Permanent Residence",2015,"68 s",26,13,39
"21270","Permanent Residence",2016,"68 s",15,19,34
"21271","Permanent Residence",2017,"68 s",21,29,50
"21272","Permanent Residence",2018,"68 s",32,21,53
"21273","Permanent Residence",2019,"68 s",25,19,44
"21274","Marriage Immigration",2011,"68 s",2,NA,2
"21275","Marriage Immigration",2012,"68 s",3,7,10
"21276","Marriage Immigration",2013,"68 s",11,3,14
"21277","Marriage Immigration",2014,"68 s",6,3,9
"21278","Marriage Immigration",2015,"68 s",5,3,8
"21279","Marriage Immigration",2016,"68 s",5,2,7
"21280","Marriage Immigration",2017,"68 s",11,2,13
"21281","Marriage Immigration",2018,"68 s",15,7,22
"21282","Marriage Immigration",2019,"68 s",9,1,10
"21283","Total",2000,"69 s",175,151,326
"21284","Total",2001,"69 s",158,105,263
"21285","Total",2002,"69 s",164,133,297
"21286","Total",2003,"69 s",179,152,331
"21287","Total",2004,"69 s",178,181,359
"21288","Total",2005,"69 s",267,290,557
"21289","Total",2006,"69 s",235,281,516
"21290","Total",2007,"69 s",270,322,592
"21291","Total",2008,"69 s",313,342,655
"21292","Total",2009,"69 s",195,205,400
"21293","Total",2010,"69 s",220,229,449
"21294","Total",2011,"69 s",306,295,601
"21295","Total",2012,"69 s",334,398,732
"21296","Total",2013,"69 s",314,351,665
"21297","Total",2014,"69 s",389,432,821
"21298","Total",2015,"69 s",484,545,1029
"21299","Total",2016,"69 s",581,767,1348
"21300","Total",2017,"69 s",544,682,1226
"21301","Total",2018,"69 s",606,806,1412
"21302","Total",2019,"69 s",665,879,1544
"21303","Sightseeing Pass",2000,"69 s",34,27,61
"21304","Sightseeing Pass",2001,"69 s",46,24,70
"21305","Sightseeing Pass",2002,"69 s",47,22,69
"21306","Sightseeing Pass",2003,"69 s",37,23,60
"21307","Sightseeing Pass",2004,"69 s",37,24,61
"21308","Sightseeing Pass",2005,"69 s",41,32,73
"21309","Sightseeing Pass",2006,"69 s",23,28,51
"21310","Sightseeing Pass",2007,"69 s",21,18,39
"21311","Sightseeing Pass",2008,"69 s",25,15,40
"21312","Sightseeing Pass",2009,"69 s",28,25,53
"21313","Sightseeing Pass",2010,"69 s",38,29,67
"21314","Sightseeing Pass",2011,"69 s",48,33,81
"21315","Sightseeing Pass",2012,"69 s",62,62,124
"21316","Sightseeing Pass",2013,"69 s",34,48,82
"21317","Sightseeing Pass",2014,"69 s",35,34,69
"21318","Sightseeing Pass",2015,"69 s",33,30,63
"21319","Sightseeing Pass",2016,"69 s",44,60,104
"21320","Sightseeing Pass",2017,"69 s",45,29,74
"21321","Sightseeing Pass",2018,"69 s",25,41,66
"21322","Sightseeing Pass",2019,"69 s",35,33,68
"21323","Short-term Business",2000,"69 s",1,0,1
"21324","Short-term Business",2001,"69 s",4,0,4
"21325","Short-term Business",2002,"69 s",3,0,3
"21326","Short-term Business",2003,"69 s",2,0,2
"21327","Short-term Business",2004,"69 s",3,2,5
"21328","Short-term Business",2005,"69 s",1,0,1
"21329","Short-term Business",2006,"69 s",1,0,1
"21330","Short-term Business",2007,"69 s",1,0,1
"21331","Short-term Business",2008,"69 s",0,0,0
"21332","Short-term Business",2009,"69 s",0,0,0
"21333","Short-term Business",2010,"69 s",0,0,0
"21334","Short-term Visitors",2000,"69 s",83,73,156
"21335","Short-term Visitors",2001,"69 s",37,39,76
"21336","Short-term Visitors",2002,"69 s",59,70,129
"21337","Short-term Visitors",2003,"69 s",100,103,203
"21338","Short-term Visitors",2004,"69 s",83,118,201
"21339","Short-term Visitors",2005,"69 s",128,183,311
